ATC code,drug,count
C09DX06,DB00381,1225161,
C09BX01,DB00381,1225161,
C09BX01,DB00808,1228423,
C09BX01,DB00790,1233226,
C10BX11,DB00381,1225161,
C10BX11,DB01076,1227562,
C10BX11,DB00790,1233226,
C09DB02,DB00381,1225161,
C09DB02,DB00275,1234376,
C10BX09,DB00381,1225161,
C10BX09,DB01098,1227117,
C08CA51,DB00381,1225161,
C08CA51,DB00482,1231958,
C09DX01,DB00381,1225161,
C09DX01,DB00177,1220756,
C09DB09,DB00381,1225161,
C09DB01,DB00381,1225161,
C09DB01,DB00177,1220756,
C10BX14,DB00381,1225161,
C10BX14,DB01098,1227117,
C10BX14,DB00790,1233226,
C09BB07,DB00381,1225161,
C09BB07,DB00178,1226031,
C09DX07,DB00381,1225161,
C09DX07,DB01029,1218187,
N05AB04,DB00433,1229933,
A02BC03,DB00448,1222030,
A02BD02,DB00448,1222030,
A02BD07,DB00448,1222030,
A02BD07,DB01060,1230235,
A02BD09,DB00448,1222030,
A02BD10,DB00448,1222030,
A02BD10,DB01060,1230235,
A02BD03,DB00448,1222030,
A02BD03,DB01060,1230235,
A02BC53,DB00448,1222030,
M01AH01,DB00482,1231958,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
L01XX33,DB00482,1231958,
C08CA51,DB00381,1225161,
C08CA51,DB00482,1231958,
C07AA07,DB00489,1230665,
C07BA07,DB00489,1230665,
C07FX02,DB00489,1230665,
N02AJ19,DB01050,1238148,
C09DB08,DB00528,1240186,
C09DB08,DB00177,1220756,
C09BB02,DB00528,1240186,
C09BB02,DB00584,1225861,
C08CA13,DB00528,1240186,
C02CA04,DB00590,1231703,
A10BH51,DB00641,1233490,
C10AA01,DB00641,1233490,
C10BX04,DB00641,1233490,
C10BX04,DB00178,1226031,
C10BA02,DB00641,1233490,
C10BA02,DB00973,1228279,
C10BX01,DB00641,1233490,
C10BA04,DB00641,1233490,
C10BA04,DB01039,1226014,
N06AX05,DB00656,1232571,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
G04CA53,DB01591,1225911,
N05AX08,DB00734,1227659,
A07DA53,DB00836,1230607,
A07DA03,DB00836,1230607,
N07BC01,DB00921,1230764,
N07BC51,DB00921,1230764,
N02AE01,DB00921,1230764,
R03AL10,DB01409,1221974,
R03AL11,DB01222,1223827,
R03AK07,DB01222,1223827,
R03AK11,DB13867,1229304,
C07FB02,DB00264,1228156,
C07FB02,DB01023,1221326,
C08CA02,DB01023,1221326,
C09BB05,DB01023,1221326,
